age_upon_outcome,sex_upon_outcome,animal_type,breed,color
42,3,1,99,117
38,2,1,901,434
44,1,1,900,115
31,3,1,901,444
40,3,1,1055,55
38,2,1,249,416
44,2,1,752,311
13,3,0,552,84
42,3,1,1082,54
40,3,1,1082,54
40,3,1,1082,172
44,2,1,119,374
11,3,1,720,7
40,2,1,755,55
38,2,0,552,58
35,2,0,552,58
42,2,1,720,215
40,2,1,155,13
44,2,1,745,250
40,1,1,900,278
7,2,1,901,55
42,2,1,825,432
44,2,1,398,173
7,2,1,383,173
38,2,1,229,55
44,2,1,901,55
9,3,1,1116,432
9,3,1,1116,432
38,2,1,945,475
40,2,1,901,55
40,3,1,428,475
40,3,1,590,326
38,3,1,1115,266
35,3,1,1115,266
38,3,1,1115,7
42,2,1,825,432
38,3,0,552,136
42,2,1,398,388
42,2,1,398,388
7,2,1,65,434
40,2,1,901,128
40,1,1,1028,7
40,2,1,943,55
44,2,1,762,199
42,2,1,762,199
35,2,1,296,173
44,3,1,720,175
40,3,1,720,175
42,3,0,552,136
44,3,1,720,372
40,3,0,551,391
7,2,1,719,199
9,3,1,1088,215
44,2,1,901,55
40,2,1,271,11
38,3,1,876,434
38,3,1,590,52
35,3,1,590,52
40,2,1,901,173
44,2,1,876,477
44,2,1,876,477
38,2,1,876,477
38,2,1,876,477
42,3,1,589,154
38,2,1,901,172
44,2,1,447,7
40,2,1,447,7
42,2,1,472,173
35,2,1,555,118
10,2,1,987,213
40,3,1,270,173
35,2,1,901,444
44,3,0,552,136
44,2,1,900,337
9,3,1,114,65
40,3,0,551,55
40,3,1,1014,37
38,3,1,720,154
42,3,1,447,175
42,2,1,901,452
42,3,1,398,388
42,3,1,398,388
40,3,1,1158,52
42,3,1,825,175
42,2,1,825,199
42,2,1,825,199
40,2,1,825,199
40,2,1,479,37
38,1,1,901,444
9,2,1,1008,37
7,2,0,544,305
40,2,1,720,37
42,3,1,398,311
44,3,1,988,434
40,3,0,552,58
40,3,0,552,58
44,3,1,262,55
42,3,1,262,55
35,3,1,901,337
40,2,1,720,379
42,3,0,551,297
12,3,0,552,184
35,2,0,552,467
42,2,1,770,55
35,2,1,398,7
38,3,1,901,432
38,2,1,901,388
44,2,1,967,238
40,2,1,720,55
38,2,0,551,7
44,2,0,552,305
40,2,1,590,7
35,1,1,1056,128
38,2,1,875,416
42,1,1,900,115
35,2,0,552,439
10,3,1,447,311
35,3,1,99,7
40,3,1,353,117
38,2,0,43,432
7,2,0,43,200
35,3,0,1052,185
9,2,1,781,432
35,2,1,1008,52
35,2,1,65,93
35,2,1,901,160
38,2,0,552,297
31,3,0,552,391
42,2,0,544,149
42,2,0,544,149
44,3,1,397,117
44,3,1,397,117
